state,District,Dem_percent
VA,1,0
VA,2,0.49
VA,3,0
VA,4,0
VA,5,0
VA,6,0
VA,7,0
VA,8,0
VA,9,0
VA,10,0.38
VA,11,1
VA,12,0.42
VA,13,0.44
VA,14,0
VA,15,0
VA,16,0
VA,17,0
VA,18,0
VA,19,0
VA,20,0.24
VA,21,0.43
VA,22,0
VA,23,0
VA,24,0.29
VA,25,0.34
VA,26,0
VA,27,0.41
VA,28,0.4
VA,29,0
VA,30,0
VA,31,0.47
VA,32,0.47
VA,33,0.375
VA,34,0.5
VA,35,1
VA,36,1
VA,37,0.57
VA,38,0.75
VA,39,1
VA,40,0.35
VA,41,1
VA,42,0.37
VA,43,0.6547497446
VA,44,1
VA,45,1
VA,46,0.6715092817
VA,47,0.78
VA,48,1
VA,49,1
VA,50,0.41
VA,51,0
VA,52,1
VA,53,1
VA,54,0
VA,55,0.4
VA,56,0
VA,57,1
VA,58,0
VA,59,0
VA,60,0
VA,61,0.29
VA,62,0.4
VA,63,1
VA,64,0
VA,65,0
VA,66,0
VA,67,0
VA,68,0.3760762117
VA,69,1
VA,70,1
VA,71,0.88
VA,72,0
VA,73,0
VA,74,0.79
VA,75,1
VA,76,0
VA,77,1
VA,78,0
VA,79,1
VA,80,1
VA,81,0.3
VA,82,0.35
VA,83,0
VA,84,0
VA,85,0
VA,86,0.5448679966
VA,87,0.4991472774
VA,88,0
VA,89,1
VA,90,1
VA,91,0
VA,92,1
VA,93,0.55
VA,94,0.42
VA,95,0.77
VA,96,0.39
VA,97,0.21
VA,98,0
VA,99,0
VA,100,0.43
