state,dem08,rep08,dem12,rep12
AL,813479,1266546,795696,1255925
AK,123594,193841,122640,164676
AZ,1034707,1230111,1025232,1233654
AR,422310,638017,394409,647744
CA,8274473,5011781,7854285,4839958
CO,1288576,1073589,1322998,1185050
CT,997763,629428,905083,634892
DE,255459,152374,242584,165484
DC,245800,17367,267070,21381
FL,4282074,4045624,4237756,4163447
GA,1844137,2048744,1773827,2078688
HI,325871,120566,306658,121015
ID,236440,403012,212787,420911
IL,3419673,2031527,3019512,2135216
IN,1374039,1345648,1152887,1420543
IA,828940,682379,822544,730617
KS,514765,699655,440726,692634
KY,751985,1048462,679370,1087190
LA,782989,1148275,809141,1152262
ME,421923,295273,401306,292276
MD,1629467,959862,1677844,971869
MA,1904097,1108854,1921290,1188314
MI,2872579,2048639,2564569,2115256
MN,1573354,1275409,1546167,1320225
MS,554662,724597,562949,710746
MO,1441911,1445814,1223796,1482440
MT,231667,242763,201839,267928
NE,333319,452979,302081,475064
NV,533736,412827,531373,463567
NH,384826,316534,369561,329918
NJ,2215422,1613207,2122786,1478088
NM,472422,346832,415335,335788
NY,4610809,2409077,4018385,2145628
NC,2142651,2128474,2178391,2270395
ND,141278,168601,124966,188320
OH,2933388,2674491,2827621,2661407
OK,502496,960165,443547,891325
OR,1037291,738475,970488,754175
PA,3276363,2651812,2990274,2680434
RI,296571,165391,279677,157204
SC,862449,1034896,865941,1071645
SD,170924,203054,145039,210610
TN,1087437,1479178,960709,1462330
TX,3528633,4479328,3308124,4569843
UT,327670,596030,251813,740600
VT,219262,98974,199239,92698
VA,1959532,1725005,1971820,1822522
WA,1750848,1229216,1755396,1290670
WV,303857,397466,238230,417584
WI,1677211,1262393,1620985,1407966
WY,82868,164958,69286,170962
